Comment,log_Words_Headline,log_Words_Comment,Stars_geq4_TF
"Korrekte Auflistung des Zählerstandes und Verbrauchs.Gute Übersicht vergangener Daten im Verlauf.Bei Abschlagszahlungen habe ich genügend Zeit zu überlegen, ob ich eine Änderung wünsche oder nicht.Allerdings bin ich nicht der große Computerfan. Ich warte die schriftliche Abrechnung ab und sehe dann weiter.",0.6931471805599453,3.713572066704308,1
Leichte Eingabe der Daten und schneller Wechsel des Abschlags! Leider lässt die Beantwortung von Fragen über das Kontaktformular zu Wünschen übrig! Teilweise habe ich auf Fragen vom Jahresanfang bis heute keine Antwort erhalten oder die Frage wird einfach als beantwortet geschlossen!,1.791759469228055,3.713572066704308,1
"Hallo,Leider muss man sich mehr Fach mit dem Service wenden um geschätzter Zählerstand zu korrigieren. Allerdings ist immer noch nicht richtig im Portal eingetragen.nach Anpassung Abschläge wegen Änderung der Verbrauch werden diese auch nach nach paar Tage automatisch wieder geändert.",1.3862943611198906,3.688879454113936,0
Ich bin rundum zufrieden mit e-on. Umzug mit Überschneidung hat geklappt. Preis ist trotz Umzug und Vertragsende (nicht gekündigt) stabil und günstig geblieben. Alle Telefon Anbieter waren teurer und dann noch unhöflich als sie die Konditionen von e-on hörten.,2.302585092994046,3.6635616461296463,1
"Alles korrekt.  Allerdings erscheint bei uns nur Froschkönigweg 6,(im PC) wir wohnen Nr.8 und verbrauchen dort auch mehr. Die letzte Zählerablesung funktionierte nur bei Nr 6. (39452) Die Zählerablesung für Nr. 8 lautet: 7922 Verbrauch. Bitte das noch zu berücksichtigen. Nr. 8 ist  ein Digitalzähler.  Dann sollte man auch an ältere Leute denken mit der Modernisierung. (83 und 90 Jahre)",1.6094379124341005,4.143134726391533,1
"Auch, wenn der Wechsel durch Übernahme meines früheren Stromanbieters ohne mein Zutun geschehen ist, bin ich bis jetzt sehr zufrieden. Anfragen werden schnell beantwortet, kann zur Zeit keine Kritik üben.",0.6931471805599453,3.4011973816621555,1
"Die Erhoehung meiner 2 Tarife Anfang 2023 von ca 28 ct auf 50 ct war unverschämt. Tarife von Vattenfall wurden zur gleichen Zeit nur maximal auf 36 ct erhöht.Glücklicherweise wurde mir, nach einem halben Jahr von eon ein akzeptabler Tarif angeboten, jetzt bin ich wieder zufrieden. Ohne dieses Angebot wäre eon für mich gestorben",0.0,3.9889840465642745,1
"Die Anmeldung bei EON war einfach und schnell. Der Wechsel verlief einwandfrei. Das verfolgen der Schritte bis zum Vertragsanfang und das Eintragen des Zählerstands im EON-Portal ist deutlich und einfach. Die Kündigung meines ehemaligen Anbieters (Stadtwerke) erfolgte durch EON. Ein Stern Abzug gibt es dafür, dass die Stadtwerke innerhalb von 2 Tagen die Kündigung bestätigten, EON aber mehr als eine Woche brauchte um diesen ersten Schritt zum Vertrag zu bestätigen. Weil die Stadtwerke schon einen Endtermin genannt hatten, wurde es dann spannend ob ich bis zu diesem Termin von EON eine Vertragsbestätigung bekommen würde. Auch bitte ich EON eine Email zu schicken wenn man einen Schitt weiter in dieses Prozedere gekommen ist. Dann muss man nicht täglich selber ins Portal gehen um nachzusehen wie der Stand ist. Sonnst bis jetzt alles prima, ein guter Preis, empfehlenswert.",2.5649493574615367,4.912654885736052,1
"Obwohl ich schon zur älteren Generation gehöre und nur sehr wenige Sachen online erledige, komme ich mit der Eingabe des Zählerstandes und den Abschlagsänderungen sehr gut zurecht. „Mein EON“ ist gut aufgebaut.",1.0986122886681098,3.4657359027997265,1
"Ich warte seit rund einer Woche auf die Bearbeitung und Beantwortung meiner Beschwerde vom 22.08.23!Bislang liegt mir lediglich ein automatisches Antwortschreiben per Mail vom selben Tage vor.Es ist völlig unverständlich und nicht nachvollziehbar, wenn E.ON aufgrund eigener DV-Probleme die Kunden immer wieder auf die App und den Login im Internet verweist, wohl wissend, dass beides nicht funktioniert!!!",2.079441541679836,4.04305126783455,0
